city,district
Talgaswela,Kalutara
Tebuwana,Kalutara
Uduwara,Kalutara
Utumgama,Kalutara
Veyangalla,Kalutara
Wadduwa,Kalutara
Walagedara,Kalutara
Walallawita,Kalutara
Waskaduwa,Kalutara
Welipenna,Kalutara
Weliveriya,Kalutara
Welmilla Junction,Kalutara
Weragala,Kalutara
Yagirala,Kalutara
Yatadolawatta,Kalutara
Yatawara Junction,Kalutara
Aludeniya,Kandy
Ambagahapelessa,Kandy
Ambagamuwa Udabulathgama,Kandy
Ambatenna,Kandy
Ampitiya,Kandy
Ankumbura,Kandy
Atabage,Kandy
Balana,Kandy
Bambaragahaela,Kandy
Batagolladeniya,Kandy
Batugoda,Kandy
Batumulla,Kandy
Bawlana,Kandy
Bopana,Kandy
Danture,Kandy
Dedunupitiya,Kandy
Dekinda,Kandy
Deltota,Kandy
Divulankadawala,Kandy
Dolapihilla,Kandy
Dolosbage,Kandy
Dunuwila,Kandy
Etulgama,Kandy
Galaboda,Kandy
Galagedara,Kandy
Galaha,Kandy
Galhinna,Kandy
Gampola,Kandy
Gelioya,Kandy
Godamunna,Kandy
Gomagoda,Kandy
Gonagantenna,Kandy
Gonawalapatana,Kandy
Gunnepana,Kandy
Gurudeniya,Kandy
Hakmana,Kandy
Handaganawa,Kandy
Handawalapitiya,Kandy
Handessa,Kandy
Hanguranketha,Nuwara Eliya
Harangalagama,Kandy
Hataraliyadda,Kandy
Hindagala,Kandy
Hondiyadeniya,Kandy
Hunnasgiriya,Kandy
Inguruwatta,Kandy
Jambugahapitiya,Kandy
Kadugannawa,Kandy
Kahataliyadda,Kandy
Kalugala,Kandy
Kandy,Kandy
Kapuliyadde,Kandy
Katugastota,Kandy
Katukitula,Kandy
Kelanigama,Kandy
Kengalla,Kandy
Ketaboola,Kandy
Ketakumbura,Kandy
Kobonila,Kandy
Kolabissa,Kandy
Kolongoda,Kandy
Kulugammana,Kandy
Kumbukkandura,Kandy
Kumburegama,Kandy
Kundasale,Kandy
Leemagahakotuwa,Kandy
Ihala Kobbekaduwa,Kandy
Lunugama,Kandy
Lunuketiya Maditta,Kandy
Madawala Bazaar,Kandy
Madawalalanda,Kandy
Madugalla,Kandy
Madulkele,Kandy
Mahadoraliyadda,Kandy
Mahamedagama,Kandy
Mahanagapura,Kandy
Mailapitiya,Kandy
Makkanigama,Kandy
Makuldeniya,Kandy
Mangalagama,Kandy
Mapakanda,Kandy
Marassana,Kandy
Marymount Colony,Nuwara Eliya
Mawatura,Kandy
Medamahanuwara,Kandy
Medawala Harispattuwa,Kandy
Meetalawa,Kandy
Megoda Kalugamuwa,Kandy
Menikdiwela,Kandy
Menikhinna,Kandy
Mimure,Kandy
Minigamuwa,Kandy
Minipe,Kandy
Moragahapallama,Kandy
Murutalawa,Kandy
Muruthagahamulla,Kandy
Nanuoya,Kandy
Naranpanawa,Kandy
Narawelpita,Kandy
Nawalapitiya,Kandy
Nawathispane,Kandy
Nillambe,Kandy
Nugaliyadda,Kandy
Ovilikanda,Kandy
Pallekotuwa,Kandy
Panwilatenna,Kandy
Paradeka,Kandy
Pasbage,Kandy
Pattitalawa,Kandy
Peradeniya,Kandy
Pilimatalawa,Kandy
Poholiyadda,Kandy
Pubbiliya,Kandy
Pupuressa,Kandy
Pussellawa,Kandy
Putuhapuwa,Kandy
Rajawella,Kandy
Rambukpitiya,Kandy
Rambukwella,Kandy
Rangala,Kandy
Rantembe,Kandy
Sangarajapura,Kandy
Senarathwela,Kandy
Talatuoya,Kandy
Teldeniya,Kandy
Tennekumbura,Kandy
Uda Peradeniya,Kandy
Udahentenna,Kandy
Udatalawinna,Kandy
Udispattuwa,Kandy
Ududumbara,Kandy
Uduwahinna,Kandy
Uduwela,Kandy
Ulapane,Kandy
Unuwinna,Kandy
Velamboda,Kandy
Watagoda,Kandy
Watagoda Harispattuwa,Kandy
Wattappola,Kandy
Weligampola,Kandy
Wendaruwa,Kandy
Weragantota,Kandy
Werapitya,Kandy
Werellagama,Kandy
Wettawa,Kandy
Yahalatenna,Kandy
Yatihalagala,Kandy
Alawala,Kegalle
Alawatura,Kegalle
Alawwa,Kegalle
Algama,Kegalle
Alutnuwara,Kegalle
Ambalakanda,Kegalle
Ambulugala,Kegalle
Amitirigala,Kegalle
Ampagala,Kegalle
Anhandiya,Kegalle
Anhettigama,Kegalle
Aranayaka,Kegalle
Aruggammana,Kegalle
Batuwita,Kegalle
Beligala(Sab),Kegalle
Belihuloya,Kegalle
Berannawa,Kegalle
Bopitiya,Kegalle
Bopitiya (SAB),Kegalle
Boralankada,Kegalle
Bossella,Kegalle
Bulathkohupitiya,Kegalle
Damunupola,Kegalle
Debathgama,Kegalle
Dedugala,Kegalle
Deewala Pallegama,Kegalle
Dehiowita,Kegalle
Deldeniya,Kegalle
Deloluwa,Kegalle
Deraniyagala,Kegalle
Dewalegama,Kegalle
Dewanagala,Kegalle
Dombemada,Kegalle
Dorawaka,Kegalle
Dunumala,Kegalle
Galapitamada,Kegalle
Galatara,Kegalle
Galigamuwa Town,Kegalle
Gallella,Kegalle
Galpatha(Sab),Kegalle
Gantuna,Kegalle
Getahetta,Kegalle
Godagampola,Kegalle
Gonagala,Kegalle
Hakahinna,Kegalle
Hakbellawaka,Kegalle
Halloluwa,Kegalle
Hedunuwewa,Kegalle
Hemmatagama,Kegalle
Hewadiwela,Kegalle
Hingula,Kegalle
Hinguralakanda,Kegalle
Hingurana,Kegalle
Hiriwadunna,Kegalle
Ihala Walpola,Kegalle
Ihalagama,Kegalle
Imbulana,Kegalle
Imbulgasdeniya,Kegalle
Kabagamuwa,Kegalle
Kahapathwala,Kegalle
Kandaketya,Kegalle
Kannattota,Kegalle
Karagahinna,Kegalle
Kegalle,Kegalle
Kehelpannala,Kegalle
Ketawala Leula,Kegalle
Kitulgala,Kegalle
Kondeniya,Kegalle
Kotiyakumbura,Kegalle
Lewangama,Kegalle
Mahabage,Kegalle
Makehelwala,Kegalle
Malalpola,Kegalle
Maldeniya,Kegalle
Maliboda,Kegalle
Maliyadda,Kegalle
Malmaduwa,Kegalle
Marapana,Kegalle
Mawanella,Kegalle
Meetanwala,Kegalle
Migastenna Sabara,Kegalle
Miyanawita,Kegalle
Molagoda,Kegalle
Morontota,Kegalle
Narangala,Kegalle
Narangoda,Kegalle
Nattarampotha,Kegalle
Nelundeniya,Kegalle
Niyadurupola,Kegalle
Noori,Kegalle
Pannila,Kegalle
Pattampitiya,Kegalle
Pilawala,Kegalle
Pothukoladeniya,Kegalle
Puswelitenna,Kegalle
Rambukkana,Kegalle
Rilpola,Kegalle
Rukmale,Kegalle
Ruwanwella,Kegalle
Samanalawewa,Kegalle
Seaforth Colony,Kegalle
Colombo 2,Colombo
Spring Valley,Kegalle
Talgaspitiya,Kegalle
Teligama,Kegalle
Tholangamuwa,Kegalle
Thotawella,Kegalle
Udaha Hawupe,Kegalle
Udapotha,Kegalle
Uduwa,Kegalle
Undugoda,Kegalle
Ussapitiya,Kegalle
Wahakula,Kegalle
Waharaka,Kegalle
Wanaluwewa,Kegalle
Warakapola,Kegalle
Watura,Kegalle
Weeoya,Kegalle
Wegalla,Kegalle
Weligalla,Kegalle
Welihelatenna,Kegalle
Wewelwatta,Kegalle
Yatagama,Kegalle
Yatapana,Kegalle
Yatiyantota,Kegalle
Yattogoda,Kegalle
Kandavalai,Kilinochchi
Karachchi,Kilinochchi
Kilinochchi,Kilinochchi
Pachchilaipalli,Kilinochchi
Poonakary,Kilinochchi
Akurana,Kandy
Alahengama,Kurunegala
Alahitiyawa,Kurunegala
Ambakote,Kurunegala
Ambanpola,Kurunegala
Andiyagala,Kurunegala
Anukkane,Kurunegala
Aragoda,Kurunegala
Ataragalla,Kurunegala
Awulegama,Kurunegala
Balalla,Kurunegala
Bamunukotuwa,Kurunegala
Bandara Koswatta,Kurunegala
Bingiriya,Kurunegala
Bogamulla,Kurunegala
Boraluwewa,Kurunegala
Boyagane,Kurunegala
Bujjomuwa,Kurunegala
Buluwala,Kurunegala
Dadayamtalawa,Kurunegala
Dambadeniya,Kurunegala
Daraluwa,Kurunegala
Deegalla,Kurunegala
Demataluwa,Kurunegala
Demuwatha,Kurunegala
Diddeniya,Kurunegala
Digannewa,Kurunegala
Divullegoda,Kurunegala
Diyasenpura,Kurunegala
Dodangaslanda,Kurunegala
